,AREA,SALE_COND,PARK_FACIL,BUILDTYPE,STREET,MZZONE,PROPERTY_AGE,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,LOG_PRICE
195,Chrompet,AdjLand,No,Commercial,NoAccess,RL,17,946,14,1.0,1.0,3,16.27044490919958
196,Chrompet,Partial,Yes,House,Gravel,RM,32,906,116,1.0,1.0,3,16.09749163863892
197,KK Nagar,AbNormal,No,Commercial,Gravel,RM,24,2344,71,4.0,2.0,6,16.808397437220695
198,Adyar,AdjLand,Yes,Others,Paved,RH,15,929,76,1.0,1.0,3,16.107799123185913
199,Anna Nagar,AdjLand,No,House,NoAccess,RL,15,1843,158,2.0,1.0,5,16.35953567628124
200,Anna Nagar,Partial,Yes,Commercial,Gravel,RL,35,1918,187,2.0,1.0,5,16.946786236188366
201,KK Nagar,Normal Sale,Yes,Commercial,Paved,RH,19,1507,54,2.0,1.0,4,16.48402869611555
202,KK Nagar,Family,No,House,Gravel,RH,6,1499,89,2.0,1.0,4,16.05999269706318
203,KK Nagar,Normal Sale,Yes,Commercial,Paved,RH,22,1526,64,2.0,1.0,4,16.489040602301017
204,Anna Nagar,AbNormal,Yes,Commercial,Paved,RH,10,1855,82,2.0,1.0,5,16.907689365427633
205,Karapakkam,Normal Sale,Yes,Others,Paved,RH,30,1627,39,2.0,2.0,4,16.06462366916454
206,Velachery,AbNormal,No,House,Gravel,RM,39,1846,28,3.0,2.0,5,16.242450290691075
207,KK Nagar,AbNormal,Yes,Others,Paved,RM,16,2019,65,3.0,2.0,5,16.42812585815147
209,Velachery,Family,Yes,Commercial,NoAccess,C,25,1780,115,2.0,1.0,4,16.45270866028711
210,Karapakkam,Partial,No,Commercial,NoAccess,C,38,662,148,1.0,1.0,2,15.334063345580992
211,Chrompet,Family,No,Commercial,Gravel,RL,26,1005,17,1.0,1.0,3,16.364675455241855
212,Karapakkam,Partial,No,House,Paved,C,20,839,102,1.0,1.0,2,15.283944657220783
213,Anna Nagar,Partial,No,House,NoAccess,RM,34,1698,76,1.0,1.0,4,16.301381908945075
214,Adyar,Partial,Yes,House,Paved,A,19,878,16,1.0,1.0,3,15.715389483471002
215,Chrompet,Partial,Yes,House,Paved,RM,37,835,77,1.0,1.0,3,15.978399811398322
216,Chrompet,Partial,Yes,Others,NoAccess,RH,33,911,84,1.0,1.0,3,15.858038732519473
217,Velachery,AdjLand,Yes,House,NoAccess,RH,50,1796,176,2.0,1.0,4,16.07125631768031
218,Karapakkam,AdjLand,No,Others,NoAccess,C,28,1004,182,1.0,1.0,3,15.423071910761198
219,Anna Nagar,Normal Sale,No,Others,Paved,RL,27,1694,86,1.0,1.0,4,16.393150965368875
220,Karapakkam,AbNormal,Yes,Others,Gravel,I,31,1244,50,1.0,1.0,3,15.936865698147885
221,Karapakkam,Partial,No,Others,Paved,RL,24,588,163,1.0,1.0,2,15.605731344026303
222,KK Nagar,AdjLand,Yes,House,Paved,RL,7,2342,69,4.0,2.0,6,16.429020529441097
223,Velachery,Normal Sale,No,Others,Paved,RL,29,1835,88,3.0,2.0,5,16.24235058750006
224,Anna Nagar,Partial,Yes,House,Gravel,RL,43,1977,84,2.0,1.0,5,16.505912134240422
225,KK Nagar,AbNormal,Yes,Commercial,Gravel,RM,15,1961,104,3.0,2.0,5,16.74899315564143
226,Velachery,Normal Sale,Yes,House,NoAccess,A,12,1517,82,2.0,1.0,4,15.829071478292818
227,KK Nagar,Partial,Yes,Others,Gravel,RL,25,2409,103,4.0,2.0,6,16.477551654164316
228,Velachery,Partial,No,Commercial,Gravel,RH,23,1864,187,3.0,2.0,5,16.57617136208857
229,Velachery,Family,Yes,Commercial,Paved,RM,31,1643,52,2.0,1.0,4,16.614361879232696
230,Adyar,Family,Yes,Commercial,NoAccess,C,8,1015,76,1.0,1.0,3,16.275721257656333
231,Anna Nagar,Normal Sale,Yes,Others,NoAccess,RH,32,1700,135,1.0,1.0,4,16.386284305303832
232,Karapakkam,Family,No,Commercial,NoAccess,C,31,624,34,1.0,1.0,2,15.361113488385772
233,Chrompet,Normal Sale,No,Commercial,Paved,RL,17,980,84,1.0,1.0,3,16.334213137183458
234,Karapakkam,AbNormal,Yes,Commercial,Gravel,RH,20,1003,196,1.0,1.0,3,16.17869862548163
235,Adyar,Family,Yes,House,NoAccess,A,6,1072,66,1.0,1.0,3,15.747761558425262
236,Karapakkam,AdjLand,No,House,Gravel,C,35,808,119,1.0,1.0,2,15.425772131096751
237,Chrompet,Normal Sale,No,House,Paved,RH,21,1027,131,1.0,1.0,3,15.8569642362192
238,Karapakkam,Normal Sale,No,House,Gravel,RL,11,696,84,1.0,1.0,2,15.722250026900348
239,Velachery,Family,Yes,House,Paved,RL,8,1716,86,2.0,1.0,4,16.206990020670553
240,Velachery,Family,No,Commercial,Paved,C,6,1878,18,3.0,2.0,5,16.53415682198388
241,KK Nagar,Normal Sale,Yes,Others,Gravel,RL,16,1699,98,2.0,1.0,4,16.30272695489809
242,KK Nagar,AbNormal,No,House,Paved,RM,24,1626,188,2.0,1.0,4,16.13439154862369
243,KK Nagar,Normal Sale,No,Commercial,Gravel,RL,18,1730,200,2.0,1.0,4,16.560520199519964
244,Chrompet,Family,No,Others,Gravel,RL,22,996,78,1.0,1.0,3,16.0547938048229
245,Chrompet,AdjLand,Yes,Commercial,NoAccess,RM,16,1277,111,2.0,1.0,4,16.605200590658352
246,Chrompet,Normal Sale,No,Commercial,Paved,RH,32,906,64,1.0,1.0,3,16.17490415358648
247,Anna Nagar,Partial,No,House,Paved,RL,39,1976,112,2.0,1.0,5,16.363372601404564
249,Karapakkam,Normal Sale,No,House,Gravel,I,30,1402,112,2.0,2.0,4,15.808266805847213
250,Chrompet,AdjLand,Yes,Others,NoAccess,RH,30,1160,138,1.0,1.0,3,16.100290882612228
251,Velachery,Normal Sale,Yes,Commercial,NoAccess,I,25,1957,134,3.0,2.0,5,16.58746289025092
252,TNagar,AdjLand,No,Commercial,NoAccess,RL,20,1887,48,2.0,1.0,5,16.879925534908065
253,Velachery,Normal Sale,Yes,House,Paved,RH,48,1859,142,3.0,2.0,5,16.15364800930258
254,Chrompet,Family,Yes,Commercial,NoAccess,RM,5,747,168,1.0,1.0,2,16.27658436503717
255,Adyar,Partial,Yes,House,Paved,C,7,985,159,1.0,1.0,3,15.855359037177426
256,Chrompet,Normal Sale,Yes,Commercial,NoAccess,RH,16,1024,77,1.0,1.0,3,16.341439822147017
257,Velachery,Family,Yes,Others,Paved,RL,25,1600,148,2.0,1.0,4,16.208016607679273
258,Chrompet,Normal Sale,No,Others,Paved,RL,36,1276,141,2.0,1.0,4,16.12649289520849
259,Chrompet,Family,Yes,House,Gravel,RH,36,1159,90,1.0,1.0,3,16.058909394198718
260,Karapakkam,AbNormal,Yes,House,NoAccess,C,50,1024,142,1.0,1.0,3,15.426880203400192
262,Chrompet,Normal Sale,Yes,Others,Gravel,RH,16,839,175,1.0,1.0,3,16.05996821482671
263,Chrompet,AbNormal,No,House,NoAccess,RM,34,1286,105,2.0,1.0,4,16.073641965658364
264,KK Nagar,AdjLand,No,House,Gravel,RL,16,2467,69,4.0,2.0,6,16.40867517174961
265,Karapakkam,AdjLand,No,Commercial,NoAccess,RM,15,653,121,1.0,1.0,2,15.906555148165145
266,Karapakkam,Family,Yes,Others,Gravel,RM,17,606,4,1.0,1.0,2,15.934802422244069
267,TNagar,AdjLand,Yes,House,NoAccess,RL,29,1837,81,2.0,1.0,5,16.439534449599076
268,Velachery,Family,Yes,Commercial,NoAccess,C,46,1880,95,3.0,2.0,5,16.469910724835668
269,KK Nagar,AdjLand,Yes,Commercial,Gravel,RH,23,2189,1,3.0,2.0,5,16.773208770015337
270,Velachery,AdjLand,Yes,Commercial,Paved,C,49,1853,123,3.0,2.0,5,16.56118160336823
271,Chrompet,Normal Sale,No,Others,Paved,RL,17,1057,200,1.0,1.0,3,16.05631556184659
272,Adyar,Family,No,Commercial,Gravel,RM,28,723,49,1.0,1.0,2,16.252768754083302
273,TNagar,Family,No,Others,NoAccess,RL,44,1812,100,2.0,1.0,5,16.374466219834552
274,TNagar,AdjLand,Yes,Others,NoAccess,RL,17,1788,145,1.0,1.0,4,16.510705955646912
275,Velachery,AbNormal,No,House,Paved,I,19,1615,31,2.0,1.0,4,15.9480522481871
